#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,2.0000,-37.92,2.58
2,107.2,2.0000,-37.92,2.75
3,114.8,2.0000,-37.93,2.92
4,123.0,2.0000,-37.93,3.10
5,131.8,2.0000,-37.93,3.32
6,141.3,2.0000,-37.93,3.56
7,151.4,2.0000,-37.94,3.84
8,162.2,2.0000,-37.93,4.06
9,173.8,2.0000,-37.92,4.41
10,186.2,2.0000,-37.94,4.70
11,199.5,2.0000,-37.93,5.04
12,213.8,2.0000,-37.92,5.39
13,229.1,2.0000,-37.92,5.79
14,245.5,2.0000,-37.91,6.24
15,263.0,2.0000,-37.90,6.69
16,281.8,2.0000,-37.88,7.11
17,302.0,2.0000,-37.89,7.64
18,323.6,2.0000,-37.88,8.20
19,346.7,2.0000,-37.86,8.75
20,371.5,2.0000,-37.86,9.39
21,398.1,2.0000,-37.83,10.02
22,426.6,2.0000,-37.81,10.73
23,457.1,2.0000,-37.78,11.51
24,489.8,2.0000,-37.77,12.32
25,524.8,2.0000,-37.73,13.18
26,562.3,2.0000,-37.70,14.03
27,602.6,2.0000,-37.66,15.02
28,645.7,2.0000,-37.62,16.03
29,691.8,2.0000,-37.56,17.08
30,741.3,2.0000,-37.51,18.22
31,794.3,2.0000,-37.44,19.46
32,851.1,2.0000,-37.36,20.72
33,912.0,2.0000,-37.28,22.06
34,977.2,2.0000,-37.17,23.43
35,1047.1,2.0000,-37.07,24.93
36,1122.0,2.0000,-36.96,26.41
37,1202.3,2.0000,-36.83,28.07
38,1288.2,2.0000,-36.68,29.69
39,1380.4,2.0000,-36.51,31.40
40,1479.1,2.0000,-36.34,33.12
41,1584.9,2.0000,-36.14,34.93
42,1698.2,2.0000,-35.92,36.82
43,1819.7,2.0000,-35.69,38.70
44,1949.8,2.0000,-35.43,40.56
45,2089.3,2.0000,-35.17,42.40
46,2238.7,2.0000,-34.88,44.35
47,2398.8,2.0000,-34.54,46.26
48,2570.4,2.0000,-34.20,48.13
49,2754.2,2.0000,-33.84,49.97
50,2951.2,2.0000,-33.45,51.80
51,3162.3,2.0000,-33.06,53.57
52,3388.4,2.0000,-32.58,55.35
53,3630.8,2.0000,-32.14,57.01
54,3890.5,2.0000,-31.67,58.67
55,4168.7,2.0000,-31.18,60.16
56,4466.8,2.0000,-30.68,61.64
57,4786.3,2.0000,-30.19,63.03
58,5128.6,2.0000,-29.66,64.29
59,5495.4,2.0000,-29.11,65.55
60,5888.4,2.0000,-28.57,66.67
61,6309.6,2.0000,-28.02,67.73
62,6760.8,2.0000,-27.41,68.70
63,7244.4,2.0000,-26.80,69.61
64,7762.5,2.0000,-26.20,70.40
65,8317.6,2.0000,-25.55,71.10
66,8912.5,2.0000,-24.91,71.73
67,9549.9,2.0000,-24.22,72.25
68,10232.9,2.0000,-23.52,72.71
69,10964.8,2.0000,-22.79,72.99
70,11749.0,2.0000,-22.06,73.22
71,12589.3,2.0000,-21.28,73.33
72,13489.6,2.0000,-20.45,73.24
73,14454.4,2.0000,-19.58,73.05
74,15488.2,2.0000,-18.69,72.69
75,16595.9,2.0000,-17.70,72.07
76,17782.8,2.0000,-16.65,71.10
77,19054.6,2.0000,-15.50,69.95
78,20417.4,2.0000,-14.20,68.06
79,21877.6,2.0000,-12.73,65.43
80,23442.3,2.0000,-11.05,61.34
81,25118.9,2.0000,-9.08,55.12
82,26915.3,2.0000,-6.76,44.34
83,28840.3,2.0000,-4.40,25.38
84,30903.0,2.0000,-3.22,-3.15
85,33113.1,2.0000,-4.19,-30.54
86,35481.3,2.0000,-6.27,-49.05
87,38018.9,2.0000,-8.39,-60.18
88,40738.0,2.0000,-10.30,-67.24
89,43651.6,2.0000,-11.97,-71.88
90,46773.5,2.0000,-13.46,-75.21
91,50118.7,2.0000,-14.80,-77.62
92,53703.2,2.0000,-16.02,-79.43
93,57544.0,2.0000,-17.11,-80.92
94,61659.5,2.0000,-18.11,-81.94
95,66069.3,2.0000,-19.08,-83.07
96,70794.6,2.0000,-19.97,-83.98
97,75857.8,2.0000,-20.83,-84.69
98,81283.1,2.0000,-21.64,-85.33
99,87096.4,2.0000,-22.42,-85.84
100,93325.4,2.0000,-23.15,-86.26
101,100000.0,2.0000,-23.92,-86.83
